"term","name","family"
"-ling","Germanic","Indo-European"
"-lings","Middle English","Indo-European"
"-lite","Ancient North Greek","Indo-European"
"-lock","Germanic","Indo-European"
"-log","French","Indo-European"
"-logic","French","Indo-European"
"-logist","Indo-European","Indo-European"
"-logue","Ancient North Greek","Indo-European"
"-logy","French","Indo-European"
"-loquy","Latin","Indo-European"
"-ly","Middle English","Indo-European"
"-lysis","Ancient North Greek","Indo-European"
"-lyte","Ancient North Greek","Indo-European"
"-machy","Ancient North Greek","Indo-European"
"-man","Indo-European","Indo-European"
"-mancy","Ancient North Greek","Indo-European"
"-mane","Ancient North Greek","Indo-European"
"-mania","Indo-European","Indo-European"
"-maniac","Indo-European","Indo-European"
"-mans","Latin","Indo-European"
"-mas","Middle English","Indo-European"
"-mastia","Ancient North Greek","Indo-European"
"-meal","Germanic","Indo-European"
"-megaly","Ancient North Greek","Indo-European"
"-meister","German","Indo-European"
"-ment","Late Latin","Indo-European"
"-mer","Ancient North Greek","Indo-European"
"-mere","Ancient North Greek","Indo-European"
"-merous","French","Indo-European"
"-meter","Ancient North Greek","Indo-European"
"-metric","Latin","Indo-European"
"-misia","Ancient North Greek","Indo-European"
"-misic","Ancient North Greek","Indo-European"
"-mont","French","Indo-European"
"-mony","Latin","Indo-European"
"-more","Middle English","Indo-European"
"-morph","Ancient North Greek","Indo-European"
"-morphic","Ancient North Greek","Indo-European"
"-morphy","Ancient North Greek","Indo-European"
"-most","Indo-European","Indo-European"
"-mycete","Ancient North Greek","Indo-European"
"-mycin","Ancient North Greek","Indo-European"
"-n","Old Norse","Indo-European"
"-naut","Ancient North Greek","Indo-European"
"-nema","Ancient North Greek","Indo-European"
"-ness","Middle English","Indo-European"
"-nik","Eastern Yiddish","Indo-European"
"-nil-","Latin","Indo-European"
"-nomics","Ancient North Greek","Indo-European"
"-nomy","Ancient North Greek","Indo-European"
"-nym","Ancient North Greek","Indo-European"
"-o","Middle English","Indo-European"
"-o-","Ancient North Greek","Indo-European"
"-ock","Middle English","Indo-European"
"-ode","Ancient North Greek","Indo-European"
"-odont","Ancient North Greek","Indo-European"
"-odontia","Ancient North Greek","Indo-European"
"-odynia","Ancient North Greek","Indo-European"
"-oi","Ancient North Greek","Indo-European"
"-oid","Ancient North Greek","Indo-European"
"-ol","Latin","Indo-European"
"-ola","Latin","Indo-European"
"-oma","Ancient North Greek","Indo-European"
"-ome","Ancient North Greek","Indo-European"
"-on","Ancient North Greek","Indo-European"
"-onym","Ancient North Greek","Indo-European"
"-oon","French","Indo-European"
"-opsia","Koineic Greek","Indo-European"
"-opsy","Ancient North Greek","Indo-European"
"-or","Latin","Indo-European"
"-orama","Ancient North Greek","Indo-European"
"-ory","Middle English","Indo-European"
"-os","Here","Atlantic-Congo"
"-os-","Latin","Indo-European"
"-ose","Latin","Indo-European"
